Sno,Entity,Code,Year,Fertilizer Usage (kg/ha),Irrigated Land (%),Total Crop Yield (tons),Greenhouse Area (ha)
0,Germany,GER,2012,5.74,44.32,33095,0.8
1,United States,USA,1998,8.5,27.08,78019,1.73
2,Qatar,QAT,1982,1.55,32.32,2699,0.06
3,Mexico,MEX,1989,6.52,27.27,31707,0.46
4,India,IND,2019,38.67,2.56,117635,0.79
5,Germany,GER,1980,0.0,37.28,0,0.0
6,United Kingdom,UK,2008,15.35,25.27,131791,1.23
7,Mexico,MEX,2013,13.09,32.39,37173,1.38
8,Mexico,MEX,1992,5.96,25.13,49122,1.01
9,Denmark,DNK,1980,0.0,24.59,0,0.0
10,India,IND,2013,23.62,8.59,38036,2.7
11,Canada,CAN,2008,25.04,13.94,76139,1.72
12,Brazil,BRA,1992,3.4,7.94,15027,1.18
13,Nigeria,NGR,2008,24.81,9.78,116384,1.77
14,France,FRA,2018,5.84,48.65,118493,0.57
15,Brazil,BRA,2003,20.69,7.66,25671,0.33
16,Argentina,ARG,2005,9.9,13.46,29050,2.24
17,Nigeria,NGR,1996,6.13,29.53,55210,1.37
18,Nigeria,NGR,1986,3.37,30.51,25346,0.25
19,Spain,ESP,1992,11.36,7.7,33014,0.79
20,Kenya,KEN,1984,0.57,39.69,12873,0.22
21,Russia,RUS,2005,10.43,39.26,104982,2.43
22,Qatar,QAT,1982,1.74,11.87,6884,0.19
23,Qatar,QAT,1986,2.74,14.43,11394,0.59
24,United Kingdom,UK,2018,10.61,46.9,131183,3.34
25,Nigeria,NGR,1980,0.0,41.28,0,0.0
26,United States,USA,1996,7.15,34.89,62982,0.47
27,Canada,CAN,2004,22.17,4.11,83603,2.03
28,Egypt,EGY,1982,1.57,20.91,9753,0.15
29,United Kingdom,UK,1994,7.76,27.97,25048,1.35
30,Germany,GER,2008,27.71,9.37,134522,1.72
31,Japan,JPN,2011,16.08,22.41,97754,0.55
32,Germany,GER,2005,3.81,30.05,92195,1.59
33,Turkey,TUR,1995,5.04,16.37,20967,1.08
34,Denmark,DNK,2004,11.82,39.05,60535,0.72
35,Peru,PER,2007,6.51,42.02,110092,1.23
36,Turkey,TUR,1988,7.62,16.18,30621,0.51
37,Japan,JPN,1980,0.0,41.93,0,0.0
38,Brazil,BRA,2008,9.56,5.18,89218,1.22
